Feature	Genome	Imprinted	Genename
Zm00001d032096	B73	PEG	ARID9
Zm00004b003587	W22	PEG	ARID9
Zm00008a003685	PH207	PEG	ARID9
Zm00001d049608	B73	MEG	FIE1
Zm00004b020902	W22	MEG	FIE1
Zm00008a015599	PH207	MEG	FIE1
Zm00001d037209	B73	MEG	GRMZM2G073700
Zm00004b029838	W22	MEG	GRMZM2G073700
Zm00008a025023	PH207	MEG	GRMZM2G073700
Zm00001d027290	B73	MEG	GRMZM2G379898
Zm00004b000042	W22	MEG	GRMZM2G379898
Zm00008a000045	PH207	MEG	GRMZM2G379898
Zm00001d032832	B73	PEG	ARID1
Zm00004b004198	W22	PEG	ARID1
Zm00008a004277	PH207	PEG	ARID1
Zm00001d019342	B73	PEG	VIM104
Zm00004b035225	W22	PEG	VIM104
Zm00008a027204	PH207	PEG	VIM104
